Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oil products,Other final consumption (ktoe),494002.2756,511380.5622,505636.2582,495858.9465,514297.7871,546890.9239,555633.2287,588668.3475,579877.4701,600608.3285,589138.8221,601831.389,614323.1673,634794.3579,673334.0378,678974.1004,696454.2492,708866.1688,683394.3521,682603.8195,709990.1367,702045.86,719973.5653,716486.5821,744881.1013,745082.9724,747538.5551,775573.2655,800154.8172
Natural gas,Production (ktoe),1687398.57,1721006.017,1723232.931,1761897.922,1781002.314,1810882.212,1886936.204,1889881.132,1933429.857,1994224.814,2064485.674,2105934.884,2159987.924,2241321.908,2304101.482,2372242.469,2448552.341,2511530.285,2613148.187,2537849.242,2715919.185,2798141.807,2849281.868,2900250.489,2935390.045,2966252.052,3016356.321,3136585.825,3293123.957
Natural gas,Imports (ktoe),436948.0125,398929.8993,400102.6425,386506.1504,380155.1227,406862.5384,445193.7948,447263.6464,449366.9113,492357.2372,534896.644,552624.6579,591689.9382,632722.2068,679010.6637,708369.6338,732708.4788,754470.5207,780750.4604,749278.6673,822855.2074,868950.565,861300.7658,873913.1333,847584.9073,878814.0279,914032.7835,990788.3652,985017.9244
Natural gas,Exports (ktoe),-435563.5426,-403590.2409,-399134.7811,-394502.6654,-385638.8221,-407857.438,-445254.3424,-449401.2682,-454646.8836,-494501.3327,-540283.4265,-552171.5821,-591713.6928,-628488.1126,-681828.5036,-726676.8176,-733354.8352,-748066.3879,-780925.6098,-742053.0186,-820360.5942,-864164.9209,-875161.5961,-893069.5265,-871867.3959,-900334.2837,-934042.3562,-1015549.386,-1019822.689
Natural gas,Total energy supply (ktoe),1662186.611,1719141.891,1720657.891,1752048.066,1751380.326,1806624.114,1870736.269,1891272.772,1908341.329,1994560.579,2071232.909,2087461.95,2156974.216,2235446.231,2292837.072,2360021.725,2419033.739,2526868.869,2589787.017,2535688.08,2735952.264,2785335.366,2838449.174,2896889.564,2900754.516,2928795.259,3017437.81,3098869.9,3261594.928
Natural gas,"Electricity, CHP and heat plants (ktoe)",-581982.1173,-617726.8789,-615097.3813,-611641.8296,-617905.0828,-627187.9625,-642702.8167,-671090.7175,-695558.535,-735714.2444,-747307.0033,-781820.8327,-820371.8829,-848061.6909,-890107.1918,-923822.0754,-957560.1503,-999711.703,-1025930.078,-1024000.211,-1113561.943,-1127635.458,-1176555.666,-1149304.876,-1157276.509,-1202053.614,-1242712.049,-1268587.262,-1304248.973
Natural gas,"Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas,Total final consumption (ktoe),944408.6642,961182.4847,953801.4664,978325.4465,975005.0085,1005864.957,1056758.243,1053878.274,1041749.939,1068326.986,1119245.918,1106575.482,1121052.185,1157642.391,1179089.714,1194586.415,1213118.788,1255234.635,1287175.713,1230772.809,1345822.497,1365033.907,1363513.783,1417605.264,1421809.522,1422661.437,1455652.624,1514175.061,1611345.069
Natural gas,Industry (ktoe),362132.7186,353584.5176,342261.1926,337194.3411,341641.4407,370446.0865,380990.2926,390301.8059,386886.7181,392915.2101,425309.884,416374.6407,415441.2216,420911.6357,427902.1356,431368.1846,448999.6688,460223.9303,473690.7683,432400.5593,498984.9207,512847.5909,529285.1214,534647.1335,543893.7758,541402.2618,546552.4231,572446.3431,597863.0297
Natural gas,Transport (ktoe),56612.4454,58237.3311,58909.5438,59475.765,58908.6495,58904.3125,59377.5174,55363.0599,60110.1896,60672.5776,57736.0882,59138.3545,62772.6417,67350.4089,70617.7901,73957.0605,75109.5983,80588.6364,87048.3093,78127.4707,89197.5382,93363.4906,90267.9159,95690.339,96278.591,97763.8594,102200.1648,105066.9229,117174.785
Natural gas,Residential (ktoe),274850.9057,291131.5674,293812.0772,319594.0613,315809.2084,329299.0831,363408.5405,348297.8588,339711.9164,353513.4078,369531.1991,371544.5638,380656.6655,398740.3862,397148.1769,397602.5303,393863.445,403069.4041,414779.3449,411315.3561,429485.7779,420107.7929,402949.5819,430667.6424,423391.184,423166.2018,435882.5283,446995.6105,481529.9972
Natural gas,Commercial and public services (ktoe),116084.0825,121833.0178,120436.7692,125252.5435,128511.2068,136919.801,142087.5746,143784.5989,140390.2764,143751.4766,143118.7579,141953.5137,143879.8172,153572.8528,158061.0317,157793.5617,160305.6692,167093.5762,173370.8525,168415.6431,175419.6785,174651.1692,171681.4787,186173.2032,185821.2619,185474.1725,188289.8623,192349.1551,207177.8715
Natural gas,Other final consumption (ktoe),134728.5122,136396.0507,138381.8833,136808.7361,130134.5032,110295.6737,110894.3181,116130.9509,114650.8385,117474.3138,123549.989,117564.4074,118301.8392,117067.1083,125360.58,133865.0771,134840.4062,144259.0884,138286.4386,140513.7797,152734.5817,164063.8635,169329.684,170426.9462,172424.7088,174854.9415,182727.6454,197317.0298,207599.3847
Nuclear,Production (ktoe),525520.031,549696.5512,554138.177,571381.7718,584817.1486,608098.3194,630366.3132,624037.4271,637569.076,659980.8481,675467.0333,687798.0569,693811.691,687191.2296,713962.4636,721705.5748,727878.3832,709210.7302,712792.6053,703091.9621,718712.6413,673467.9365,641617.7434,646587.0143,661176.8725,670172.2862,680176.7936,687380.1949,706814.4086
