Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oil products,Total energy supply (ktoe),-2408.3558,-177.4334,132.3523,1626.3447,3791.1916,7557.9498,8435.5919,9609.7105,7382.2307,6381.4831,4589.0681,3018.9188,1751.3619,-2045.0962,-4327.5623,-3194.4833,-2674.9063,-911.7124,1111.4709,247.3903,9071.508,11034.8297,13360.6512,11871.4116,12306.6616,9330.7372,11283.6291,16532.4142,11808.8576
Oil products,"Electricity, CHP and heat plants (ktoe)",-1298.0881,-1361.7331,-1755.6653,-1578.3202,-1678.9517,-1987.4768,-2384.0318,-2644.7955,-2938.9614,-4127.6878,-3901.6827,-4144.2427,-3002.0087,-2579.3775,-2814.3135,-2881.3342,-2890.9197,-3067.9603,-3932.9688,-3200.0532,-3746.8352,-3242.2432,-4514.3728,-5752.239,-7460.7333,-6290.7936,-3102.6527,-3176.9785,-2688.5723
Oil products,"Oil refineries, transformation (ktoe)",61734.8669,59406.0106,61427.8389,62092.7585,66071.2256,64997.7312,69512.4784,75231.878,80316.0194,83325.568,85140.8136,87334.4974,86029.162,86770.8076,92252.6421,91874.0576,92839.6985,94653.6676,95317.8434,95898.9449,96441.2929,98677.6414,104153.8654,110859.0127,113357.1418,106441.6182,99238.1536,95891.0093,93622.9794
Oil products,Total final consumption (ktoe),53455.058,54199.8095,55700.7659,57749.4404,60919.5521,65501.3546,70187.5541,75543.8537,78321.188,79033.7545,80062.5627,79570.2016,78449.6628,75800.3314,78559.8557,78993.4362,80661.7336,84140.5002,86543.2957,85728.3462,93861.5434,100240.618,105947.3413,107863.2071,109676.0731,102829.5123,101456.5219,102357.7198,96380.9481
Oil products,Industry (ktoe),8424.7924,8393.3172,8901.9223,9257.1813,9575.1804,10456.6858,11563.3967,12277.4421,12942.134,13430.0744,13813.2292,12955.0331,12505.8814,11778.3215,11238.2351,11544.7227,11558.5847,12828.7209,12468.5515,12359.8223,11964.0297,12686.8427,12471.2488,12691.0983,12678.8231,11451.4776,11041.5441,10785.5486,9386.5923
Oil products,Transport (ktoe),26996.9738,28269.8342,28472.7695,29596.6843,30972.3464,34319.6426,37500.7376,39832.4427,41851.7632,40908.243,41181.7808,41816.4128,42136.5736,41115.0018,43857.4633,43861.8796,44662.1897,46323.0506,48144.1253,47541.6289,53659.598,59565.4779,65334.123,67450.2929,69259.029,64311.6278,63870.1522,64376.6413,60882.279
Oil products,Residential (ktoe),5118.1957,5255.7746,5462.4221,5662.7455,5690.3977,5958.6735,6198.4292,6207.6673,6232.0596,6369.5497,6360.3869,6387.6049,6160.1973,5723.3011,5842.0699,5729.7511,5724.3411,5905.6192,6052.1376,6123.2469,6296.685,6364.3244,6392.144,6525.3427,6537.6225,6543.2425,6575.4321,6607.993,6533.1637
Oil products,Commercial and public services (ktoe),821.9467,769.0176,790.1637,736.2177,1083.198,1115.57,937.5149,1024.6055,1156.35,1409.2647,1359.26,1372.664,1460.0695,1112.1862,1169.6752,1068.1055,1028.4812,1074.5109,1080.5705,871.8927,753.4041,808.4386,737.6485,711.9175,741.9985,694.2159,683.2141,692.4722,692.8107
Oil products,Other final consumption (ktoe),12093.1493,11511.8659,12073.4882,12496.6116,13598.4296,13650.7828,13987.4758,16201.6961,16138.8812,16916.6228,17347.9058,17038.4867,16186.9411,16071.5209,16452.4122,16788.9773,17688.1369,18008.5987,18797.9108,18831.7554,21187.8266,20815.5345,21012.1769,20484.5557,20458.6,19828.9486,19286.1793,19895.0646,18886.1024
Natural gas,Production (ktoe),3329.4712,3256.6423,3507.4807,3826.8272,3970.9802,4259.6303,4773.7962,5299.0112,5561.8874,5910.5761,6237.9407,6338.1126,8133.2545,8788.4781,9229.6217,9486.178,9613.0482,9418.0138,12086.092,10156.3414,12835.7481,14555.4385,16703.9553,18449.785,19819.9699,20429.4497,20637.2958,23345.5428,21577.0961
Natural gas,Imports (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.5408,1893.3792,3946.0232,4597.6999,4328.8048,6924.3766,7704.9656,8382.7171,8849.4196,9717.6698,7315.7137,10830.288,8975.4944,11290.0688,14524.871,16544.0241,15762.6182,10042.6913,9180.0153,9073.7434
Natural gas,Exports (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas,Total energy supply (ktoe),3334.3078,3261.4789,3504.5787,3826.8272,3970.9802,4259.6303,4773.7962,5299.0112,5561.8874,6253.1169,8131.3199,10284.1359,12730.9544,13117.2829,16153.9983,17191.1436,17995.7653,18267.4334,21803.7618,17472.055,23666.0361,23530.9329,27994.0241,32974.6561,36363.994,36192.0679,30679.9871,32525.5581,30650.8395
